
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2017-01-01;36.667,88;4704171588824;38.919,55;6473459163653;35.013,10;7365973255236;38.956,37;873328279020;60.417,43;877686095230;35.208,87;4430611259805
2017-01-02;36.667,88;4704171588824;38.919,55;6473459163653;35.013,10;7365973255236;38.956,37;873328279020;60.417,43;877686095230;35.208,87;4430611259805
2017-01-03;36.729,92;4720834907142;38.986,30;6484034138263;35.070,15;7418011925191;38.997,40;892217608553;60.495,09;871765825697;35.262,23;4418895002358
2017-01-04;36.828,06;4739275817719;39.085,23;6498601707758;35.176,17;7451599177969;39.073,89;895288950329;60.679,21;882507282493;35.376,76;4433542941340
2017-01-05;36.947,76;4756701175072;39.208,65;6521866510727;35.278,60;7477090708204;39.170,96;898112058207;60.845,23;885135878209;35.459,21;4445450938119
2017-01-06;36.981,53;4762795797815;39.242,34;6526956401949;35.305,36;7488610734369;39.189,67;898815721701;60.921,14;886089129077;35.482,97;4448179002206
2017-01-07;36.981,53;4762795797815;39.242,34;6526956401949;35.305,36;7488610734369;39.189,67;898815721701;60.921,14;886089129077;35.482,97;4448179002206
2017-01-08;36.981,53;4762795797815;39.242,34;6526956401949;35.305,36;7488610734369;39.189,67;898815721701;60.921,14;886089129077;35.482,97;4448179002206
2017-01-09;36.946,52;4750349387633;39.177,87;6514978851595;35.285,11;7480919380618;39.149,45;897233313485;60.854,63;885493294557;35.443,61;4442390037321
2017-01-10;36.961,75;4751751478764;39.196,88;6516176871396;35.294,98;7482467153402;39.157,74;897700057245;60.862,61;885569919585;35.456,26;4443958748362
2017-01-11;36.928,60;4750239315485;39.165,03;6512187434387;35.264,64;7480303528433;39.125,27;898176912069;60.838,89;885733805023;35.427,60;4443092468670
2017-01-12;36.949,07;4751775315904;39.201,04;6516299654245;35.288,26;7479542224169;39.139,99;900719724055;60.868,95;887231483226;35.442,86;4445711219567
2017-01-13;36.967,94;4759348256669;39.222,32;6525280886553;35.306,05;7498243363510;39.161,21;902357524172;60.911,14;889726883959;35.472,88;4454192967061
2017-01-14;36.967,94;4759348256669;39.222,32;6525280886553;35.306,05;7498243363510;39.161,21;902357524172;60.911,14;889726883959;35.472,88;4454192967061
2017-01-15;36.967,94;4759348256669;39.222,32;6525280886553;35.306,05;7498243363510;39.161,21;902357524172;60.911,14;889726883959;35.472,88;4454192967061
2017-01-16;36.942,85;4774853438509;39.191,23;6512587721319;35.282,88;7520859085018;39.128,10;917913393949;60.874,80;882722226297;35.461,94;4430021023703
2017-01-17;36.933,58;4778236281348;39.182,81;6516863559741;35.272,97;7523042176677;39.119,86;919963540226;60.865,90;891475287301;35.454,14;4432051010238
2017-01-18;36.914,44;4779825663401;39.163,35;6519881461007;35.258,66;7528560542230;39.099,53;920168254127;60.836,75;891280860604;35.444,09;4433854335441
2017-01-19;36.889,72;4777806192900;39.137,70;6517024830813;35.239,21;7524392260844;39.072,31;920031188082;60.792,01;890589368109;35.412,52;4430628436483
2017-01-20;36.880,19;4773281347007;39.117,55;6512579398011;35.231,05;7519078127046;39.069,30;920267153403;60.771,64;890425852430;35.404,91;4432610741380
2017-01-21;36.880,19;4773281347007;39.117,55;6512579398011;35.231,05;7519078127046;39.069,30;920267153403;60.771,64;890425852430;35.404,91;4432610741380
2017-01-22;36.880,19;4773281347007;39.117,55;6512579398011;35.231,05;7519078127046;39.069,30;920267153403;60.771,64;890425852430;35.404,91;4432610741380
2017-01-23;36.911,05;4778081905226;39.153,77;6521401170188;35.255,62;7525650342560;39.099,33;921606573359;60.813,74;891057214401;35.443,37;4438600995480
2017-01-24;36.885,38;4774645763978;39.130,72;6518699175981;35.224,65;7515663089256;39.062,33;922401462872;60.768,54;890737980674;35.420,03;4436197689405
2017-01-25;36.909,13;4778475765354;39.156,49;6522824091058;35.251,39;7524007374939;39.089,46;923264285000;60.807,80;891683724133;35.434,81;4438207575642
2017-01-26;36.920,61;4779909110879;39.176,93;6524079174245;35.268,87;7527806696382;39.113,80;924925061245;60.842,56;892334357511;35.453,43;4440276751963
2017-01-27;36.901,88;4777883814682;39.152,95;6520188463732;35.240,81;7523456157078;39.107,93;925342429380;60.816,69;891864736085;35.430,26;4438703649597
2017-01-28;36.901,88;4777883814682;39.152,95;6520188463732;35.240,81;7523456157078;39.107,93;925342429380;60.816,69;891864736085;35.430,26;4438703649597
2017-01-29;36.901,88;4777883814682;39.152,95;6520188463732;35.240,81;7523456157078;39.107,93;925342429380;60.816,69;891864736085;35.430,26;4438703649597
2017-01-30;36.911,16;4772440260784;39.156,32;6520481886520;35.253,32;7524676864146;39.107,30;924899468283;60.827,37;892183068848;35.431,55;4439242740028
2017-01-31;36.915,89;4768788880758;39.160,78;6511991511466;35.255,18;7513790407387;39.118,26;925863719052;60.823,30;892039502885;35.437,58;4438030421438
2017-02-01;36.936,78;4752563256778;39.186,50;6461672745915;35.279,64;7433095263923;39.131,20;1125059977184;60.874,74;872911568562;35.475,42;4416678825967
2017-02-02;36.996,87;4761649025705;39.247,27;6466691100639;35.334,20;7445368713827;39.172,80;1127174482354;60.972,90;878060756447;35.533,71;4423582744356
2017-02-03;37.023,46;4773245630394;39.277,36;6478544726124;35.364,51;7464505254821;39.189,50;1127775004136;61.006,70;878797006647;35.571,96;4430990734480
2017-02-04;37.023,46;4773245630394;39.277,36;6478544726124;35.364,51;7464505254821;39.189,50;1127775004136;61.006,70;878797006647;35.571,96;4430990734480
2017-02-05;37.023,46;4773245630394;39.277,36;6478544726124;35.364,51;7464505254821;39.189,50;1127775004136;61.006,70;878797006647;35.571,96;4430990734480
2017-02-06;37.040,42;4777599119297;39.287,75;6485485682744;35.378,11;7470284205571;39.204,78;1128438313192;61.035,16;879703699748;35.588,17;4433414450738
2017-02-07;37.025,36;4778646263595;39.278,58;6486571340725;35.365,13;7469997467669;39.181,35;1128214655724;61.010,28;879331016419;35.569,23;4432494100961
2017-02-08;37.109,70;4791185596457;39.363,67;6499965700366;35.442,77;7492434236939;39.251,42;1131969769860;61.135,98;881293951846;35.655,21;4443912186028
2017-02-09;37.150,68;4792621601437;39.411,23;6506374980110;35.471,81;7488468334494;39.300,42;1133555995171;61.201,68;881980160396;35.685,37;4446539307050
2017-02-10;37.202,56;4799197725335;39.453,77;6514161117512;35.513,80;7492484734415;39.336,36;1134557337361;61.268,33;883096068920;35.732,55;4452987312130
2017-02-11;37.202,56;4799197725335;39.453,77;6514161117512;35.513,80;7492484734415;39.336,36;1134557337361;61.268,33;883096068920;35.732,55;4452987312130
2017-02-12;37.202,56;4799197725335;39.453,77;6514161117512;35.513,80;7492484734415;39.336,36;1134557337361;61.268,33;883096068920;35.732,55;4452987312130
2017-02-13;37.193,62;4797211253062;39.440,67;6510044676149;35.509,96;7490917118915;39.335,04;1137066855389;61.271,73;883799584091;35.713,15;4449170714575
2017-02-14;37.208,84;4803066045075;39.451,64;6515678562374;35.528,00;7501213900796;39.352,66;1139379064406;61.282,04;884428133598;35.717,14;4452167773536
2017-02-15;37.241,82;4811439498208;39.481,71;6473662259809;35.566,25;7467684755276;39.362,93;1309621841443;61.330,92;869902947830;35.748,30;4426229344066
2017-02-16;37.222,99;4808149295064;39.452,82;6469276240270;35.552,86;7460731080657;39.350,13;1309629797802;61.287,11;869536294332;35.723,16;4423848776922
2017-02-17;37.184,36;4802158286282;39.411,30;6460742161653;35.518,34;7450022209849;39.341,74;1309148770344;61.224,66;874770647691;35.681,36;4420065941587
2017-02-18;37.184,36;4802158286282;39.411,30;6460742161653;35.518,34;7450022209849;39.341,74;1309148770344;61.224,66;874770647691;35.681,36;4420065941587
2017-02-19;37.184,36;4802158286282;39.411,30;6460742161653;35.518,34;7450022209849;39.341,74;1309148770344;61.224,66;874770647691;35.681,36;4420065941587
2017-02-20;37.237,64;4807854790814;39.470,66;6469413839162;35.571,31;7458342026187;39.386,22;1310806387948;61.316,48;875831747723;35.730,18;4425901604823
2017-02-21;37.218,25;4813267314250;39.450,23;6469237058327;35.552,00;7462254320581;39.368,27;1311296861120;61.274,60;875426734024;35.704,09;4424174320658
2017-02-22;37.206,09;4812509391333;39.440,59;6464634956806;35.540,98;7461509895150;39.366,10;1311472857927;61.254,67;875682507649;35.678,46;4421863038628
2017-02-23;37.237,43;4816582196012;39.469,19;6470723977554;35.573,37;7468866369611;39.393,03;1312791321978;61.298,64;876261270499;35.715,50;4427057697757
2017-02-24;37.288,66;4821244923986;39.526,65;6479003885322;35.622,06;7479175645233;39.420,24;1313746561759;61.383,32;877818243815;35.771,29;4434941104675
2017-02-25;37.288,66;4821244923986;39.526,65;6479003885322;35.622,06;7479175645233;39.420,24;1313746561759;61.383,32;877818243815;35.771,29;4434941104675
2017-02-26;37.288,66;4821244923986;39.526,65;6479003885322;35.622,06;7479175645233;39.420,24;1313746561759;61.383,32;877818243815;35.771,29;4434941104675
2017-02-27;37.351,29;4827494499557;39.597,58;6490673284915;35.677,81;7489505168465;39.473,24;1315488312122;61.472,00;878945949037;35.831,58;4443746366506
2017-02-28;37.349,74;4828663608044;39.605,59;6494956320733;35.668,72;7483925577045;39.477,84;1315736221524;61.440,24;878475226275;35.833,89;4443241123117
2017-03-01;37.390,88;4838003154285;39.642,65;6484137288645;35.714,86;7483016823542;39.514,99;1373476088008;61.506,64;869871999254;35.869,00;4427119020252
2017-03-02;37.400,55;4842190107823;39.646,79;6481048874440;35.726,62;7481476570256;39.521,97;1374471741953;61.505,33;875538504586;35.859,61;4427963355363
2017-03-03;37.405,43;4839642466237;39.645,26;6475910932760;35.730,55;7469624535066;39.538,37;1374652873821;61.510,62;875629967051;35.858,93;4427803796280
2017-03-04;37.405,43;4839642466237;39.645,26;6475910932760;35.730,55;7469624535066;39.538,37;1374652873821;61.510,62;875629967051;35.858,93;4427803796280
2017-03-05;37.405,43;4839642466237;39.645,26;6475910932760;35.730,55;7469624535066;39.538,37;1374652873821;61.510,62;875629967051;35.858,93;4427803796280
2017-03-06;37.424,49;4840700570484;39.661,89;6476301223750;35.750,64;7466333736787;39.562,41;1374726351364;61.538,45;875858485093;35.889,22;4431131429801
2017-03-07;37.426,83;4842003428949;39.657,47;6471424128729;35.754,67;7457664080205;39.560,88;1373699191926;61.529,86;875590581161;35.879,51;4430079086096
2017-03-08;37.410,11;4838560889047;39.637,75;6461079299029;35.737,45;7447557289379;39.567,57;1373749961231;61.496,32;874425765131;35.862,92;4427662073035
2017-03-09;37.398,08;4830070799148;39.625,90;6451812734306;35.722,99;7434331643645;39.551,96;1371974754025;61.471,99;873671594659;35.846,70;4423268517503
2017-03-10;37.334,02;4814863886673;39.553,90;6435007932583;35.669,07;7407665240967;39.519,81;1370133193934;61.376,46;872296644912;35.785,22;4415986326602
2017-03-11;37.334,02;4814863886673;39.553,90;6435007932583;35.669,07;7407665240967;39.519,81;1370133193934;61.376,46;872296644912;35.785,22;4415986326602
2017-03-12;37.334,02;4814863886673;39.553,90;6435007932583;35.669,07;7407665240967;39.519,81;1370133193934;61.376,46;872296644912;35.785,22;4415986326602
