
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-01-17;27.850,73;3959958628169;29.523,30;2995588659563;29.492,23;4324098894861;28.151,33;185670209007;27.377,27;671061877100;27.640,27;5823678882700
2016-01-18;27.826,26;3954531234452;29.489,71;2993114548942;29.460,15;4319055020892;28.123,09;185528628318;27.351,91;669991119546;27.610,35;5817404925959
2016-01-19;27.804,82;3952295748650;29.469,21;2992188681945;29.431,79;4312748074055;28.101,83;185564077190;27.321,37;669848254269;27.594,16;5813704115267
2016-01-20;27.799,57;3953594893882;29.461,09;2991289623192;29.429,50;4313758904802;28.098,58;185641011878;27.319,52;670031106046;27.591,96;5814440803506
2016-01-21;27.720,88;3943673180136;29.365,63;2984621507336;29.340,68;4300608988492;28.012,78;184816785770;27.245,41;667842881404;27.530,46;5799586617300
2016-01-22;27.704,33;3942020888845;29.358,20;2987106023240;29.315,84;4299561447377;27.997,55;184791098915;27.224,09;667832130767;27.541,92;5803439659509
2016-01-23;27.704,33;3942020888845;29.358,20;2987106023240;29.315,84;4299561447377;27.997,55;184791098915;27.224,09;667832130767;27.541,92;5803439659509
2016-01-24;27.704,33;3942020888845;29.358,20;2987106023240;29.315,84;4299561447377;27.997,55;184791098915;27.224,09;667832130767;27.541,92;5803439659509
2016-01-25;27.738,86;3946875228924;29.389,83;2992090380789;29.346,03;4301054810988;28.050,68;185436494866;27.263,32;668714425833;27.580,39;5810153684535
2016-01-26;27.761,86;3950444248401;29.406,29;2993674834406;29.367,18;4302512758775;28.057,87;185659620215;27.282,21;669503613713;27.585,12;5811217100458
2016-01-27;27.802,91;3958205652335;29.463,22;3003797434688;29.412,11;4311486589159;28.108,30;186489061349;27.319,72;670574274334;27.636,26;5821985900439
2016-01-28;27.793,38;3954763340434;29.447,31;3006130909770;29.397,35;4311105754144;28.080,66;186787747559;27.303,27;670534215397;27.620,89;5821251336499
2016-01-29;27.780,80;3981444392736;29.435,28;3020074336606;29.389,66;4340736484257;28.071,95;187086252602;27.292,41;674640128538;27.618,57;5868833006616
2016-01-30;27.780,80;3981444392736;29.435,28;3020074336606;29.389,66;4340736484257;28.071,95;187086252602;27.292,41;674640128538;27.618,57;5868833006616
2016-01-31;27.780,80;3981444392736;29.435,28;3020074336606;29.389,66;4340736484257;28.071,95;187086252602;27.292,41;674640128538;27.618,57;5868833006616
2016-02-01;27.872,06;3996513806531;29.538,36;3036944064105;29.477,53;4355109696679;28.170,31;189255487659;27.375,27;676084431993;27.714,43;5889229822632
2016-02-02;27.962,74;4009641322248;29.638,68;3050133013153;29.587,26;4371884134690;28.246,08;190074799784;27.457,67;679687735482;27.796,91;5906415435527
2016-02-03;27.916,71;4003661178724;29.575,89;3046656962053;29.525,53;4364080252603;28.189,52;189908439767;27.406,38;678756622377;27.737,76;5893190718746
2016-02-04;27.843,28;3992857841863;29.504,32;3037415155975;29.447,80;4350630745978;28.116,86;189606906932;27.332,35;675676732898;27.636,38;5870127244646
2016-02-05;27.776,96;3983775912531;29.436,29;3030752680646;29.373,92;4339732742425;28.050,03;189274468865;27.263,08;674097027451;27.585,42;5859793073780
2016-02-06;27.776,96;3983775912531;29.436,29;3030752680646;29.373,92;4339732742425;28.050,03;189274468865;27.263,08;674097027451;27.585,42;5859793073780
2016-02-07;27.776,96;3983775912531;29.436,29;3030752680646;29.373,92;4339732742425;28.050,03;189274468865;27.263,08;674097027451;27.585,42;5859793073780
2016-02-08;27.740,45;3978856217566;29.396,36;3026954376608;29.353,86;4336198227697;28.026,57;189412140532;27.236,20;673472731661;27.546,78;5851501249241
2016-02-09;27.790,41;3990672587129;29.448,63;3032149687893;29.402,39;4342285977709;28.049,89;189914085859;27.281,59;674323603853;27.605,77;5858107659323
2016-02-10;27.801,21;3994776330587;29.454,15;3031497542950;29.412,39;4346498445727;28.052,13;190326379940;27.284,20;674484230838;27.611,70;5855835387262
2016-02-11;27.777,71;3993111007139;29.426,85;3030934291078;29.382,51;4344539880694;28.022,90;190501991922;27.258,90;674288289866;27.590,38;5851203175297
2016-02-12;27.751,78;3983282694310;29.389,25;3025178045601;29.348,80;4332223661552;27.978,98;190657549755;27.222,37;673712610410;27.571,22;5843984312443
2016-02-13;27.751,78;3983282694310;29.389,25;3025178045601;29.348,80;4332223661552;27.978,98;190657549755;27.222,37;673712610410;27.571,22;5843984312443
