
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2018-01-01;36.702,40;4011984769885;38.513,02;3635465861078;38.771,59;5588726153576;36.998,77;2074188501682;36.683,10;913738058187;36.255,69;4763365876961
2018-01-02;36.757,57;4015756690690;38.568,73;3644020842860;38.820,14;5599321712457;37.058,67;2081153488692;36.732,57;912777166319;36.300,03;4767503967049
2018-01-03;36.788,70;4019989565172;38.586,25;3648063883115;38.835,84;5603607170309;37.054,69;2081935875985;36.751,77;913704337882;36.309,63;4768786244399
2018-01-04;36.809,34;4023245356061;38.602,09;3651052270336;38.850,06;5607311992846;37.064,61;2083424062713;36.762,37;914278757501;36.321,47;4770777844945
2018-01-05;36.940,55;4039277533349;38.741,13;3664900594643;39.001,77;5631592144964;37.199,86;2090887102247;36.888,74;918126667829;36.454,91;4788665138751
2018-01-06;36.940,55;4039277533349;38.741,13;3664900594643;39.001,77;5631592144964;37.199,86;2090887102247;36.888,74;918126667829;36.454,91;4788665138751
2018-01-07;36.940,55;4039277533349;38.741,13;3664900594643;39.001,77;5631592144964;37.199,86;2090887102247;36.888,74;918126667829;36.454,91;4788665138751
2018-01-08;37.171,79;4067901318916;38.983,42;3692546412727;39.241,31;5670030696873;37.436,47;2105665004345;37.115,80;924329284905;36.678,71;4820159095962
2018-01-09;37.242,78;4078035957121;39.065,54;3704488478855;39.326,06;5686670651661;37.522,91;2112568532504;37.193,65;927485262449;36.754,60;4831711079980
2018-01-10;37.281,48;4088211224744;39.111,65;3717226196093;39.372,94;5702927743825;37.564,54;2118598670104;37.226,69;929437146432;36.790,04;4840184690515
2018-01-11;37.265,31;4090452570650;39.103,90;3722154039963;39.358,23;5707191875970;37.544,43;2121815713941;37.222,08;931571379940;36.776,54;4842632237977
2018-01-12;37.297,31;4100864715046;39.140,12;3732788234355;39.383,83;5722010789230;37.570,54;2132350335260;37.261,23;936551000448;36.806,32;4853336599589
2018-01-13;37.297,31;4100864715046;39.140,12;3732788234355;39.383,83;5722010789230;37.570,54;2132350335260;37.261,23;936551000448;36.806,32;4853336599589
2018-01-14;37.297,31;4100864715046;39.140,12;3732788234355;39.383,83;5722010789230;37.570,54;2132350335260;37.261,23;936551000448;36.806,32;4853336599589
2018-01-15;37.307,41;4122792795917;39.153,11;3764126224360;39.386,77;5778704621112;37.575,56;2158752738943;37.260,65;942206716627;36.808,99;4869491192714
2018-01-16;37.307,41;4122792795917;39.153,11;3764126224360;39.386,77;5778704621112;37.575,56;2158752738943;37.260,65;942206716627;36.808,99;4869491192714
2018-01-17;37.358,32;4141875005719;39.206,40;3791237247757;39.445,24;5827287460350;37.620,29;2190035431732;37.293,71;950429680147;36.864,61;4888674492564
2018-01-18;37.569,20;4174591588642;39.422,50;3819725808451;39.647,32;5868275880408;37.837,24;2223864322108;37.510,57;960851888479;37.071,36;4919543814296
2018-01-19;37.647,88;4186707406967;39.496,08;3832698824052;39.721,09;5886218020044;37.902,74;2246475990703;37.571,12;962986158436;37.143,85;4931077244701
2018-01-20;37.647,88;4186707406967;39.496,08;3832698824052;39.721,09;5886218020044;37.902,74;2246475990703;37.571,12;962986158436;37.143,85;4931077244701
2018-01-21;37.647,88;4186707406967;39.496,08;3832698824052;39.721,09;5886218020044;37.902,74;2246475990703;37.571,12;962986158436;37.143,85;4931077244701
2018-01-22;37.813,71;4206529711773;39.663,29;3854061469910;39.889,01;5915331444972;38.074,89;2258670330453;37.738,27;967833702837;37.301,86;4953776937145
2018-01-23;37.873,16;4216764557480;39.724,84;3864394267967;39.970,67;5933685268828;38.121,98;2262879165340;37.804,11;970542457173;37.357,53;4963178339920
2018-01-24;38.007,78;4234811220204;39.871,36;3881357626155;40.127,38;5963507858858;38.270,55;2272454698133;37.954,71;974702836299;37.505,52;4984105689061
2018-01-25;37.989,10;4234865413546;39.834,83;3879233675130;40.078,66;5959125801975;38.218,54;2269435400854;37.899,13;973741405020;37.476,45;4981152854581
2018-01-26;37.898,96;4220231782812;39.726,42;3853134571952;39.975,45;5904310212233;38.123,39;2248194157275;37.789,41;970903639577;37.378,04;4966114142716
2018-01-27;37.898,96;4220231782812;39.726,42;3853134571952;39.975,45;5904310212233;38.123,39;2248194157275;37.789,41;970903639577;37.378,04;4966114142716
2018-01-28;37.898,96;4220231782812;39.726,42;3853134571952;39.975,45;5904310212233;38.123,39;2248194157275;37.789,41;970903639577;37.378,04;4966114142716
2018-01-29;38.025,70;4232485112826;39.863,94;3857830762867;40.123,04;5903911885847;38.249,79;2238233452386;37.928,19;974243252789;37.504,52;4980935846597
2018-01-30;38.121,23;4244231855792;39.971,07;3869979514988;40.228,28;5916695995547;38.353,83;2228201731996;38.022,30;976910309704;37.607,96;4995030666585
2018-01-31;37.922,47;4218480232797;39.750,98;3859423785683;40.022,96;5875782896601;38.137,82;2195873734765;37.821,79;971683410890;37.407,91;4957789568266
