
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-01-01;35.024,27;3695118839232;36.802,04;4913849540578;37.091,74;4693183709861;36.124,43;354600663633;34.650,94;419612376989;36.589,76;3871331486806
2016-01-02;35.024,27;3695118839232;36.802,04;4913849540578;37.091,74;4693183709861;36.124,43;354600663633;34.650,94;419612376989;36.589,76;3871331486806
2016-01-03;35.024,27;3695118839232;36.802,04;4913849540578;37.091,74;4693183709861;36.124,43;354600663633;34.650,94;419612376989;36.589,76;3871331486806
2016-01-04;35.024,04;3704111045833;36.798,17;4970170569373;37.088,98;4740915252600;36.127,66;359705587585;34.658,91;418642451530;36.586,51;3878904377489
2016-01-05;34.714,36;3677002069962;36.480,98;4936965883116;36.766,69;4709334192463;35.785,62;357323110698;34.361,29;415845832129;36.280,43;3851886373073
2016-01-06;34.656,51;3673938013766;36.408,07;4931523709430;36.682,61;4702119027935;35.712,57;357086545154;34.288,25;418716952909;36.201,33;3846206989964
2016-01-07;34.410,22;3648613013119;36.153,26;4900036218075;36.437,50;4671388134134;35.459,21;354727152917;34.077,70;416395540458;35.955,09;3821345195248
2016-01-08;34.019,25;3607992039902;35.747,53;4841019828175;36.021,41;4616662447141;35.039,34;350572065070;33.697,41;411810174136;35.548,50;3775316775035
2016-01-09;34.019,25;3607992039902;35.747,53;4841019828175;36.021,41;4616662447141;35.039,34;350572065070;33.697,41;411810174136;35.548,50;3775316775035
2016-01-10;34.019,25;3607992039902;35.747,53;4841019828175;36.021,41;4616662447141;35.039,34;350572065070;33.697,41;411810174136;35.548,50;3775316775035
2016-01-11;33.923,73;3597268987319;35.638,98;4827316493445;35.923,47;4601407734221;34.933,05;349432730229;33.588,95;410385062662;35.448,64;3764637016031
2016-01-12;34.025,11;3579642392058;35.744,86;4766747325910;36.005,71;4493551761302;35.044,14;344161251094;33.689,28;406564920472;35.561,79;3762927929840
2016-01-13;34.033,91;3553334363864;35.749,50;4706227566483;35.992,79;4397515866242;35.054,39;339215421465;33.672,57;402028617838;35.564,56;3741950389494
2016-01-14;33.741,85;3521146120589;35.436,88;4651723865920;35.709,32;4357503445643;34.745,68;335597690710;33.410,77;398840818397;35.253,36;3710694286129
2016-01-15;33.691,70;3507862383187;35.377,13;4635594324553;35.614,53;4339750058963;34.687,07;335290246135;33.322,88;393853623132;35.215,58;3698558565449
2016-01-16;33.691,70;3507862383187;35.377,13;4635594324553;35.614,53;4339750058963;34.687,07;335290246135;33.322,88;393853623132;35.215,58;3698558565449
2016-01-17;33.691,70;3507862383187;35.377,13;4635594324553;35.614,53;4339750058963;34.687,07;335290246135;33.322,88;393853623132;35.215,58;3698558565449
2016-01-18;33.387,67;3474008713788;35.049,94;4589708726623;35.320,32;4302414697735;34.362,65;331788759206;33.031,72;390312655398;34.889,75;3662754105843
2016-01-19;33.255,55;3458456896374;34.909,63;4569704862136;35.141,16;4279401579200;34.218,00;330308013945;32.880,34;391163462055;34.748,37;3646873155332
2016-01-20;33.252,62;3455739118367;34.918,44;4568847615159;35.150,26;4279293374050;34.226,59;330240576519;32.898,94;391206309028;34.747,78;3642337719868
2016-01-21;32.830,81;3375600816168;34.478,51;4425674098545;34.705,01;4097675980294;33.767,62;319658270224;32.497,84;380406769659;34.313,50;3580092770577
2016-01-22;32.737,23;3314379010039;34.372,30;4290836323554;34.568,68;3954178275682;33.641,70;308899272669;32.343,76;370249432195;34.209,39;3533166489262
2016-01-23;32.737,23;3314379010039;34.372,30;4290836323554;34.568,68;3954178275682;33.641,70;308899272669;32.343,76;370249432195;34.209,39;3533166489262
2016-01-24;32.737,23;3314379010039;34.372,30;4290836323554;34.568,68;3954178275682;33.641,70;308899272669;32.343,76;370249432195;34.209,39;3533166489262
2016-01-25;33.001,05;3323667561795;34.649,20;4297802677615;34.823,76;3944313018596;33.963,38;308181773243;32.593,54;370990562506;34.487,60;3552321986602
2016-01-26;32.972,58;3302532798060;34.628,43;4255481021081;34.831,47;3906893372442;33.924,61;305297148576;32.601,14;368905211775;34.439,76;3534027793073
2016-01-27;33.139,46;3299267536530;34.790,50;4235272326970;34.988,85;3892877815775;34.092,06;303715142027;32.741,61;368618359672;34.616,26;3539225409432
2016-01-28;33.003,58;3272351435280;34.663,46;4198919043710;34.856,42;3862051275582;33.952,47;300852472369;32.609,81;366550876365;34.466,95;3516460926471
2016-01-29;32.935,97;3238988216974;34.604,16;4152916152174;34.807,33;3818956222602;33.893,58;298125841771;32.541,81;363600656634;34.408,29;3497318159093
2016-01-30;32.935,97;3238988216974;34.604,16;4152916152174;34.807,33;3818956222602;33.893,58;298125841771;32.541,81;363600656634;34.408,29;3497318159093
2016-01-31;32.935,97;3238988216974;34.604,16;4152916152174;34.807,33;3818956222602;33.893,58;298125841771;32.541,81;363600656634;34.408,29;3497318159093
2016-02-01;33.380,70;3248996617280;35.073,38;4169279680406;35.270,36;3840760478442;34.393,60;301370867806;32.962,25;362990755737;34.903,65;3528765034240
2016-02-02;33.629,80;3259626585002;35.324,54;4178920148723;35.552,36;3857765065688;34.642,49;302210924777;33.236,79;366775714498;35.152,13;3545837570767
2016-02-03;33.232,15;3212306744791;34.904,88;4112443277757;35.132,39;3800967250389;34.210,61;297632353752;32.815,94;361433393445;34.716,19;3492403834534
2016-02-04;32.942,70;3178198748625;34.593,96;4067623285844;34.828,93;3763339854758;33.901,20;294785725533;32.542,44;358010660669;34.400,63;3456222146370
2016-02-05;32.710,18;3148969427534;34.374,92;4032455494018;34.589,11;3730159790106;33.666,75;291882673604;32.288,69;354801033051;34.165,27;3429957004685
2016-02-06;32.710,18;3148969427534;34.374,92;4032455494018;34.589,11;3730159790106;33.666,75;291882673604;32.288,69;354801033051;34.165,27;3429957004685
2016-02-07;32.710,18;3148969427534;34.374,92;4032455494018;34.589,11;3730159790106;33.666,75;291882673604;32.288,69;354801033051;34.165,27;3429957004685
2016-02-08;32.580,99;3127738779283;34.254,17;4010024674088;34.486,46;3710461358445;33.515,63;289936679761;32.150,71;352304733720;34.046,05;3412777106591
2016-02-09;32.578,27;3117748872085;34.244,76;3994794975130;34.478,65;3699475248229;33.518,50;288825005666;32.165,03;351994443073;34.053,00;3402225161426
2016-02-10;32.602,17;3111185470345;34.251,41;3983129054789;34.496,30;3694101197110;33.553,04;287959820543;32.186,78;351542665414;34.067,05;3398336534125
2016-02-11;32.454,07;3087087914771;34.103,34;3951403999828;34.353,20;3670753108240;33.392,53;286383668483;32.041,70;349363988546;33.910,56;3376101598594
2016-02-12;32.111,37;3045702313837;33.739,99;3897675747096;33.998,22;3623858963910;33.039,02;283460980310;31.734,61;345557158282;33.579,84;3337018044589
2016-02-13;32.111,37;3045702313837;33.739,99;3897675747096;33.998,22;3623858963910;33.039,02;283460980310;31.734,61;345557158282;33.579,84;3337018044589
2016-02-14;32.111,37;3045702313837;33.739,99;3897675747096;33.998,22;3623858963910;33.039,02;283460980310;31.734,61;345557158282;33.579,84;3337018044589
2016-02-15;32.089,08;3031378065996;33.716,14;3875583698819;33.960,77;3613557833519;33.028,32;283745189375;31.659,78;341617706678;33.535,78;3313822083713
2016-02-16;32.209,04;3039954187645;33.860,28;3886831536415;34.069,97;3621514285131;33.165,35;284626627372;31.760,47;342655155561;33.638,88;3319701873090
2016-02-17;32.547,20;3065360861210;34.226,31;3915792903730;34.414,50;3647815209702;33.529,71;286970161485;32.090,81;347163713695;33.997,47;3348684086734
2016-02-18;32.852,71;3087988549992;34.582,44;3945272189005;34.770,06;3679150144242;33.870,76;289145111834;32.388,76;349693565640;34.336,29;3377666047934
2016-02-19;32.841,39;3080495407403;34.562,22;3931803918418;34.755,85;3670751741592;33.850,65;288431187879;32.381,28;348948242380;34.304,18;3369365724154
2016-02-20;32.841,39;3080495407403;34.562,22;3931803918418;34.755,85;3670751741592;33.850,65;288431187879;32.381,28;348948242380;34.304,18;3369365724154
2016-02-21;32.841,39;3080495407403;34.562,22;3931803918418;34.755,85;3670751741592;33.850,65;288431187879;32.381,28;348948242380;34.304,18;3369365724154
2016-02-22;32.846,80;3073611169353;34.570,56;3920550504737;34.775,09;3663294042569;33.860,64;287636666664;32.395,52;348564561817;34.317,43;3365132669942
2016-02-23;32.843,34;3066876825997;34.554,82;3909354469936;34.768,85;3655992114471;33.861,85;286867474511;32.366,69;347745425220;34.293,46;3358916904897
2016-02-24;32.572,94;3036465997835;34.289,69;3871289076261;34.493,77;3622023520791;33.590,34;283944092126;32.120,62;344551599766;34.037,83;3330781843430
2016-02-25;32.582,55;3035431207026;34.296,54;3867117973920;34.506,80;3621531762027;33.613,82;283981728736;32.126,94;344540841764;34.055,83;3329848670664
2016-02-26;32.498,77;3024261508765;34.201,34;3853772220268;34.397,89;3607761390596;33.523,14;282402638613;32.017,75;343119398797;33.954,61;3315899963259
2016-02-27;32.498,77;3024261508765;34.201,34;3853772220268;34.397,89;3607761390596;33.523,14;282402638613;32.017,75;343119398797;33.954,61;3315899963259
2016-02-28;32.498,77;3024261508765;34.201,34;3853772220268;34.397,89;3607761390596;33.523,14;282402638613;32.017,75;343119398797;33.954,61;3315899963259
2016-02-29;32.546,00;3017202957550;34.254,78;3844485995828;34.457,65;3599082762289;33.570,65;282015261739;32.057,87;342307890306;33.998,12;3308455819001
2016-03-01;32.625,23;3010006042147;34.349,11;3846332629721;34.548,43;3599972102236;33.668,56;282269436609;32.150,78;339362697172;34.093,31;3302949448102
2016-03-02;33.108,20;3050968806169;34.856,37;3896670206233;35.053,62;3647709081705;34.195,22;286041883439;32.625,48;344119083543;34.589,78;3347829188480
2016-03-03;33.194,26;3056886830184;34.954,14;3904627363721;35.185,43;3658458824061;34.295,73;286630722837;32.742,76;347423199878;34.688,65;3355548608137
2016-03-04;33.349,48;3066765199874;35.107,42;3913805868565;35.348,89;3671259466687;34.462,42;287434262213;32.892,11;348737581640;34.849,48;3368566070538
2016-03-05;33.349,48;3066765199874;35.107,42;3913805868565;35.348,89;3671259466687;34.462,42;287434262213;32.892,11;348737581640;34.849,48;3368566070538
2016-03-06;33.349,48;3066765199874;35.107,42;3913805868565;35.348,89;3671259466687;34.462,42;287434262213;32.892,11;348737581640;34.849,48;3368566070538
2016-03-07;33.396,19;3067817153339;35.146,62;3914224106356;35.401,12;3674557629858;34.513,40;287494627068;32.940,19;349260647752;34.903,43;3372427411366
2016-03-08;33.404,38;3066581574863;35.173,93;3914546443344;35.427,46;3675407654468;34.534,92;287554841542;32.946,01;349292013011;34.913,74;3372170871139
2016-03-09;33.190,47;3044539375030;34.938,92;3886885283232;35.196,62;3649819501432;34.289,52;285571018544;32.731,32;347283338671;34.690,45;3349850948495
2016-03-10;33.131,44;3039900238298;34.869,69;3879039696383;35.134,32;3643848532091;34.225,23;285073610325;32.662,32;346624096954;34.630,38;3342414977972
2016-03-11;33.185,06;3044141944666;34.920,46;3883479757722;35.189,83;3648117333724;34.270,29;285431804429;32.733,65;347616375607;34.685,19;3347245733340
2016-03-12;33.185,06;3044141944666;34.920,46;3883479757722;35.189,83;3648117333724;34.270,29;285431804429;32.733,65;347616375607;34.685,19;3347245733340
2016-03-13;33.185,06;3044141944666;34.920,46;3883479757722;35.189,83;3648117333724;34.270,29;285431804429;32.733,65;347616375607;34.685,19;3347245733340
2016-03-14;33.681,13;3091408245852;35.474,95;3949954697377;35.744,43;3706936812913;34.832,96;291023327863;33.229,21;353186158399;35.214,49;3401911420782
2016-03-15;33.829,11;3101175271301;35.636,77;3964683547365;35.908,56;3726183780986;34.999,10;293054094984;33.399,54;352584503854;35.360,50;3407449444994
2016-03-16;33.725,68;3092890976310;35.532,39;3955192365877;35.821,79;3720847697777;34.885,03;292407974205;33.307,60;351599477442;35.253,40;3399030043743
2016-03-17;33.854,26;3105114401769;35.675,71;3969577737423;35.955,93;3735035206711;35.044,86;293773505024;33.395,01;354221435914;35.380,79;3411273207106
2016-03-18;33.562,40;3077321560473;35.361,36;3933629680847;35.651,01;3702847911072;34.758,33;291239259088;33.106,98;351093098365;35.090,27;3383471343744
2016-03-19;33.562,40;3077321560473;35.361,36;3933629680847;35.651,01;3702847911072;34.758,33;291239259088;33.106,98;351093098365;35.090,27;3383471343744
2016-03-20;33.562,40;3077321560473;35.361,36;3933629680847;35.651,01;3702847911072;34.758,33;291239259088;33.106,98;351093098365;35.090,27;3383471343744
2016-03-21;33.735,10;3091933702350;35.552,46;3953236452993;35.842,70;3721977523288;34.944,95;292738964399;33.284,16;352935167466;35.279,29;3400551650980
2016-03-22;34.023,07;3117217913777;35.857,72;3987396901268;36.160,37;3754047057870;35.229,68;295220847930;33.555,73;355597074626;35.573,80;3427982580224
2016-03-23;34.002,91;3114865930795;35.835,42;3984657861559;36.119,33;3750279103470;35.213,19;295395276633;33.536,67;355222095727;35.543,51;3425197178517
2016-03-24;33.824,37;3097007707879;35.651,08;3962730492569;35.938,94;3729241767567;35.009,69;293590233666;33.355,30;353146005700;35.351,22;3406844045676
2016-03-25;33.824,37;3097007707879;35.651,08;3962730492569;35.938,94;3729241767567;35.009,69;293590233666;33.355,30;353146005700;35.351,22;3406844045676
2016-03-26;33.824,37;3097007707879;35.651,08;3962730492569;35.938,94;3729241767567;35.009,69;293590233666;33.355,30;353146005700;35.351,22;3406844045676
2016-03-27;33.824,37;3097007707879;35.651,08;3962730492569;35.938,94;3729241767567;35.009,69;293590233666;33.355,30;353146005700;35.351,22;3406844045676
2016-03-28;33.892,91;3107825427152;35.721,99;3978526616593;36.015,06;3749330036781;35.087,20;294538251969;33.435,92;354049001012;35.427,75;3419786967186
2016-03-29;33.833,13;3103227229962;35.661,19;3971956897428;35.951,02;3742991242323;35.019,97;293949070278;33.361,73;353145673310;35.376,75;3415555022636
2016-03-30;34.087,83;3124905887431;35.959,36;4004771319642;36.215,86;3769030642076;35.319,07;295986815386;33.613,68;355642620609;35.660,59;3443183392707
2016-03-31;34.031,33;3110725103615;35.907,09;3989561883381;36.194,44;3756966230927;35.280,74;295306496134;33.553,04;354171413180;35.607,48;3429892382881
2016-04-01;33.789,70;3073233469160;35.646,04;3959024304655;35.941,44;3725168068650;35.009,21;292998107273;33.314,23;348552911362;35.341,13;3390091333199
2016-04-02;33.789,70;3073233469160;35.646,04;3959024304655;35.941,44;3725168068650;35.009,21;292998107273;33.314,23;348552911362;35.341,13;3390091333199
2016-04-03;33.789,70;3073233469160;35.646,04;3959024304655;35.941,44;3725168068650;35.009,21;292998107273;33.314,23;348552911362;35.341,13;3390091333199
2016-04-04;33.749,85;3068991653453;35.600,77;3952469947854;35.870,67;3716959737649;34.973,59;292659973282;33.266,03;347829545531;35.321,40;3387548180281
2016-04-05;33.710,51;3065243328035;35.544,27;3947925041029;35.829,77;3713833175573;34.920,16;292219315477;33.227,53;347384475902;35.266,00;3382667465305
2016-04-06;33.591,46;3054430062669;35.422,37;3933100572075;35.719,85;3700836510135;34.775,04;291082738493;33.120,34;348231304193;35.149,65;3371159555523
2016-04-07;33.740,14;3068450598550;35.591,71;3951734790850;35.871,37;3718627486917;34.960,04;292754983629;33.278,96;350150642100;35.315,20;3386824800991
2016-04-08;33.761,50;3070745206597;35.624,22;3957943494880;35.907,51;3724564799221;34.971,52;292990376032;33.316,83;350787637908;35.330,38;3387838038042
2016-04-09;33.761,50;3070745206597;35.624,22;3957943494880;35.907,51;3724564799221;34.971,52;292990376032;33.316,83;350787637908;35.330,38;3387838038042
2016-04-10;33.761,50;3070745206597;35.624,22;3957943494880;35.907,51;3724564799221;34.971,52;292990376032;33.316,83;350787637908;35.330,38;3387838038042
2016-04-11;34.020,12;3095738745285;35.894,64;3990069692238;36.175,53;3753094644030;35.262,82;295509676557;33.580,90;353490674576;35.608,54;3414962055989
2016-04-12;34.068,95;3101448452941;35.934,60;3995885954859;36.239,98;3761650547415;35.306,16;296678167479;33.615,70;353946428547;35.653,22;3421181102691
2016-04-13;33.963,66;3094387335773;35.842,95;3989243411207;36.128,12;3751639472473;35.224,49;297431078586;33.511,48;353520924891;35.554,42;3416006265272
2016-04-14;34.238,52;3124726182028;36.135,31;4025130271999;36.404,71;3786570740068;35.549,81;300769225498;33.788,29;356839239033;35.830,22;3447428580207
2016-04-15;34.226,99;3115315362188;36.119,05;4021959439710;36.393,44;3783223571820;35.507,82;300714150374;33.768,66;354725218015;35.806,04;3433144406578
2016-04-16;34.226,99;3115315362188;36.119,05;4021959439710;36.393,44;3783223571820;35.507,82;300714150374;33.768,66;354725218015;35.806,04;3433144406578
2016-04-17;34.226,99;3115315362188;36.119,05;4021959439710;36.393,44;3783223571820;35.507,82;300714150374;33.768,66;354725218015;35.806,04;3433144406578
2016-04-18;34.093,89;3103486458426;35.981,55;4008267905936;36.262,38;3770429937524;35.364,18;299893950398;33.643,97;356051134976;35.671,66;3420954383931
2016-04-19;34.151,03;3109416411082;36.051,88;4018028419029;36.327,61;3776835014930;35.428,43;300911385279;33.703,22;356441179615;35.744,53;3428376285261
2016-04-20;34.116,01;3106027767269;35.999,19;4012386950686;36.274,59;3771463739345;35.394,55;300567625055;33.669,46;355954981732;35.687,45;3421626593310
2016-04-21;34.206,62;3114475278075;36.099,25;4023521481199;36.373,01;3781547030222;35.488,34;301460516895;33.755,36;356681176140;35.784,33;3431420142665
2016-04-22;34.185,31;3113027156344;36.082,45;4021364963771;36.364,15;3780284890836;35.479,67;301321887817;33.743,36;356535944668;35.757,68;3428568758371
2016-04-23;34.185,31;3113027156344;36.082,45;4021364963771;36.364,15;3780284890836;35.479,67;301321887817;33.743,36;356535944668;35.757,68;3428568758371
2016-04-24;34.185,31;3113027156344;36.082,45;4021364963771;36.364,15;3780284890836;35.479,67;301321887817;33.743,36;356535944668;35.757,68;3428568758371
2016-04-25;34.351,61;3128633450579;36.268,63;4042757653882;36.548,13;3799452810443;35.652,37;302861404322;33.895,01;358158321999;35.934,32;3446283123920
2016-04-26;34.299,03;3123927380643;36.209,97;4035904388377;36.487,27;3791422279412;35.595,90;302151326765;33.842,45;357549422833;35.884,29;3441033326338
2016-04-27;34.385,16;3130914602132;36.291,28;4043719303993;36.573,85;3799647662806;35.680,56;302862622998;33.910,60;358292510873;35.958,72;3448216212071
2016-04-28;34.420,55;3133520133332;36.321,20;4045915672853;36.600,06;3801276203044;35.722,31;303135427192;33.919,94;358381381816;35.983,37;3449587493691
2016-04-29;34.146,81;3100946430882;36.025,07;4004583272924;36.325,69;3763055842206;35.432,33;300584812124;33.654,23;354607730864;35.695,28;3412658235844
2016-04-30;34.146,81;3100946430882;36.025,07;4004583272924;36.325,69;3763055842206;35.432,33;300584812124;33.654,23;354607730864;35.695,28;3412658235844
2016-05-01;34.146,81;3100946430882;36.025,07;4004583272924;36.325,69;3763055842206;35.432,33;300584812124;33.654,23;354607730864;35.695,28;3412658235844
2016-05-02;33.936,81;3073568207688;35.785,98;3976601651686;36.085,91;3732406756446;35.187,38;299181131870;33.447,04;349660158905;35.466,07;3379543516274
2016-05-03;34.000,38;3077971659348;35.864,00;3984043475817;36.165,51;3740479928202;35.256,03;299723831898;33.523,63;350503593027;35.541,86;3386646908265
2016-05-04;34.000,91;3076712169215;35.885,39;3983234565027;36.175,08;3738489088369;35.263,90;299422833831;33.526,14;352549333010;35.556,52;3387138920772
2016-05-05;33.947,15;3066097188502;35.833,29;3963534871379;36.130,21;3724092870241;35.215,48;298413169400;33.466,50;351282531596;35.513,81;3380368144051
2016-05-06;33.820,39;3042469692630;35.696,80;3928808063991;35.992,56;3691784507166;35.072,40;296302763279;33.331,99;349100367053;35.385,98;3362899629797
2016-05-07;33.820,39;3042469692630;35.696,80;3928808063991;35.992,56;3691784507166;35.072,40;296302763279;33.331,99;349100367053;35.385,98;3362899629797
2016-05-08;33.820,39;3042469692630;35.696,80;3928808063991;35.992,56;3691784507166;35.072,40;296302763279;33.331,99;349100367053;35.385,98;3362899629797
2016-05-09;33.771,05;3032382487574;35.661,48;3917451873492;35.948,24;3679002164012;35.043,33;295701272855;33.292,64;348347146972;35.361,62;3356321904586
2016-05-10;33.917,87;3040961358433;35.815,87;3926717422558;36.098,19;3689589727011;35.193,07;297009939315;33.454,16;350109738701;35.519,68;3368564514221
2016-05-11;34.333,08;3077159605274;36.265,38;3976578696542;36.557,14;3736436796511;35.663,95;301256943049;33.876,79;354564124441;35.974,25;3412175270115
2016-05-12;34.359,48;3081032860976;36.266,25;3981859229186;36.563,72;3738597005429;35.657,32;302359799377;33.881,91;354997412491;35.966,65;3414579126843
