
Fecha;ALAMEDA;;CONCORDIA;;CUPRUM;;EL LIBERTADOR;;HABITAT;;INVIERTA;;PLANVITAL;;PROVIDA;;SAN CRISTOBAL;;SANTA MARIA;;SUMMA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
1981-07-05;102,55;18152061;103,07;3211574;101,33;15905801;101,86;8896919;101,72;114635467;102,06;36260247;101,96;32979728;102,30;386493858;102,12;97062285;101,75;282285529;101,90;48257510
1981-07-06;102,83;18206138;103,37;3222712;101,56;15942181;102,13;8920297;101,92;114635467;102,42;36424543;102,24;33124549;102,51;387943099;102,35;97305442;101,80;282770640;102,12;48381593
1981-07-07;102,92;18228432;103,54;3238045;101,64;15954195;102,22;8933196;102,02;114635467;102,54;36578221;102,33;33209352;102,70;390216272;102,44;97565593;101,90;283308078;102,18;48606696
1981-07-08;103,02;18245682;103,65;3231547;101,67;15988313;102,31;8943129;102,13;114635467;102,67;36636831;102,43;33239749;102,78;390518235;102,41;97537357;101,96;283695824;102,19;48611227
1981-07-09;103,14;18267386;103,76;3234814;101,82;16011464;102,42;8964009;101,88;114635467;102,79;36728678;102,25;33181797;102,86;390834763;102,49;97619996;102,04;283910138;102,28;48660109
1981-07-10;103,25;18286221;103,86;3238129;101,96;16034545;102,52;8972404;101,96;114635467;102,92;36775129;102,34;33211956;103,68;393955411;102,56;97685849;102,26;284534205;102,32;48681519
1981-07-11;103,25;18286221;103,86;3238129;101,96;16034545;102,52;8972404;101,96;114635467;102,92;36775129;102,34;33211956;103,68;393955411;102,56;97685849;102,26;284534205;102,32;48681519
1981-07-12;103,25;18286221;103,86;3238129;101,96;16034545;102,52;8972404;101,96;114635467;102,92;36775129;102,34;33211956;103,68;393955411;102,56;97685849;102,26;284534205;102,32;48681519
1981-07-13;104,17;18450057;104,25;3250185;102,23;16075977;102,85;9002068;102,10;114635467;103,34;36960953;102,64;33311672;103,97;395031380;102,81;97924841;102,50;285192560;102,67;48847058
1981-07-14;104,42;18493533;104,43;3255836;102,27;16083274;103,06;9020548;102,22;114635467;103,51;37022170;102,93;33402708;104,08;395472972;102,85;97963976;102,64;285596931;102,84;48930722
1981-07-15;104,68;18539963;104,72;3265011;102,43;16107337;103,25;9038560;102,37;114635467;103,74;36106479;103,10;33458284;104,37;377786281;102,92;98022796;102,77;285957393;103,07;47565725
1981-07-16;105,79;18736080;104,95;3271989;102,61;16136446;103,42;9053329;102,52;114635467;103,99;37199326;103,37;33547956;104,57;378517732;103,10;98193784;103,05;286950705;103,39;47717419
1981-07-17;106,06;18783616;105,10;3276674;102,72;16154088;103,62;9071616;102,66;114635467;104,29;37306642;103,57;33742962;104,76;379211829;103,25;98344139;103,11;286893737;103,46;109128558
1981-07-18;106,06;18783616;105,10;3276674;102,72;16154088;103,62;9071616;102,66;114635467;104,29;37306642;103,57;33742962;104,76;379211829;103,25;98344139;103,11;286893737;103,46;109128558
1981-07-19;106,06;18783616;105,10;3276674;102,72;16154088;103,62;9071616;102,66;114635467;104,29;37306642;103,57;33742962;104,76;379211829;103,25;98344139;103,11;286893737;103,46;109128558
1981-07-20;106,41;43592329;105,74;6590740;102,89;35504250;103,89;23203030;102,87;262104067;104,97;96247600;104,17;72629932;105,05;865657016;103,52;197578614;103,33;475936380;103,76;109438018
1981-07-21;106,52;43640244;105,85;7983597;102,93;35517571;103,98;23223010;102,96;262051089;105,11;96384698;104,26;72695348;105,14;866363186;103,60;197739893;103,42;476414944;103,89;109574409
1981-07-22;106,60;43670596;105,95;8002258;103,05;35557767;104,06;23241590;103,08;262051089;105,20;96467227;104,36;72760368;105,23;866980362;103,68;197816170;103,51;568378836;103,98;109674246
1981-07-23;106,71;43718529;106,03;8008989;103,13;35585015;104,15;23262020;103,14;262051089;105,28;96547478;104,45;72825487;105,31;867688983;103,78;198010945;103,61;477480984;104,13;109828497
1981-07-24;106,83;43764699;106,09;8013145;103,21;35612045;104,14;23259560;103,21;262051089;105,44;96694206;104,55;72893339;105,40;868398743;103,70;197869721;103,66;477739407;104,22;109927932
1981-07-25;106,83;43764699;106,09;8013145;103,21;35612045;104,14;23259560;103,21;262051089;105,44;96694206;104,55;72893339;105,40;868398743;103,70;197869721;103,66;477739407;104,22;109927932
1981-07-26;106,83;43764699;106,09;8013145;103,21;35612045;104,14;23259560;103,21;262051089;105,44;96694206;104,55;72893339;105,40;868398743;103,70;197869721;103,66;477739407;104,22;109927932
1981-07-27;107,25;43932918;106,63;8054294;103,44;35693231;104,14;23321260;103,41;262061840;105,84;97061028;104,84;73097068;105,66;870537840;103,97;198374696;103,93;479241710;104,49;110214152
1981-07-28;107,37;43980480;106,75;8063140;103,52;35724687;104,47;23331900;103,41;262066747;105,88;97106319;104,94;73164980;105,74;871252883;104,31;199023400;104,01;479678403;104,58;110307667
1981-07-29;107,51;44038352;106,84;8069961;103,60;35754391;104,56;23352520;103,48;262066747;105,95;97170519;105,03;73233017;105,83;871968484;104,38;199173232;104,10;480169038;104,63;110358810
1981-07-30;107,55;46940226;106,94;8077016;103,72;35795765;104,74;23673900;103,55;262711919;106,15;98154396;105,13;73918609;105,91;880295514;104,59;217033856;104,20;671595963;104,78;111802600
1981-07-31;107,66;46987978;107,00;8183533;103,81;35855550;104,86;22881610;103,60;266716039;106,32;98311591;105,23;73985743;106,00;845592106;104,67;217196796;104,27;672038461;104,94;109061726
1981-08-01;107,66;46987978;107,00;8183533;103,81;35855550;104,86;22881610;103,60;266716039;106,32;98311591;105,23;73985743;106,00;845592106;104,67;217196796;104,27;672038461;104,94;109061726
1981-08-02;107,66;46987978;107,00;8183533;103,81;35855550;104,86;22881610;103,60;266716039;106,32;98311591;105,23;73985743;106,00;845592106;104,67;217196796;104,27;672038461;104,94;109061726
1981-08-03;107,99;47132666;107,28;8204977;104,04;35935576;105,17;22948558;103,82;266716039;106,59;98561253;105,53;74180204;106,28;847819519;104,91;217689015;104,50;673420118;105,24;109372018
1981-08-04;108,10;47181065;107,38;8212172;104,11;35961992;105,41;23001894;103,89;266716039;106,69;98653721;105,62;74243472;106,38;848564430;105,01;217894681;104,61;674092828;105,33;109467953
1981-08-05;108,22;47235145;107,47;8219304;104,20;35990811;105,51;23023797;104,02;266716039;106,88;98829409;105,72;74308783;106,47;849312243;105,09;218063152;104,70;674606575;105,42;109551756
1981-08-06;108,35;47291728;107,55;8225136;104,28;36018167;105,61;23044478;104,05;266716039;106,96;98903383;105,82;74374343;106,56;850059935;105,08;218052648;104,72;674713797;105,39;109524412
1981-08-07;108,49;47351087;107,64;8232441;104,35;36045259;105,72;23056130;104,13;266716039;107,10;99006178;105,92;74440240;106,66;850807628;105,16;218218336;104,77;683411953;105,46;109598615
1981-08-08;108,49;47351087;107,64;8232441;104,35;36045259;105,72;23056130;104,13;266716039;107,10;99006178;105,92;74440240;106,66;850807628;105,16;218218336;104,77;683411953;105,46;109598615
1981-08-09;108,49;47351087;107,64;8232441;104,35;36045259;105,72;23056130;104,13;266716039;107,10;99006178;105,92;74440240;106,66;850807628;105,16;218218336;104,77;683411953;105,46;109598615
1981-08-10;108,90;47710183;108,06;8264708;104,61;36134240;106,07;23256198;104,44;268172842;107,37;101664496;106,29;74978003;106,95;865591444;105,48;220890460;105,05;674126719;105,85;110536548
1981-08-11;109,06;47782488;108,28;8281314;104,70;36166610;106,18;23281568;104,56;268172842;107,35;101645556;106,42;75142528;107,04;866357458;105,63;221211678;105,16;674834778;105,99;110676449
1981-08-12;109,22;47996232;108,41;8291196;104,82;36206277;106,31;23310615;104,56;268172842;107,61;101891740;106,55;75238651;107,13;867123064;105,73;221434843;105,26;675412606;106,11;110804249
1981-08-13;109,38;48067093;108,56;8302823;104,93;36243980;106,50;23351379;104,65;268172842;107,93;102463409;106,70;75346085;107,25;868066475;105,87;221720390;105,28;675512858;106,47;111185258
1981-08-14;109,54;48140506;109,13;8346430;105,07;36291412;106,60;23374175;104,83;268172842;108,25;102767201;106,86;75454710;107,38;869144579;106,02;222034911;105,34;675837277;106,66;111376193
1981-08-15;109,54;48140506;109,13;8346430;105,07;36291412;106,60;23374175;104,83;268172842;108,25;102767201;106,86;75454710;107,38;869144579;106,02;222034911;105,34;675837277;106,66;111376193
