
Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2000-04-02;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-03;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-04;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-05;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-06;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-07;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-08;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-09;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-10;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-11;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-12;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-13;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-14;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-15;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-16;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-17;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-18;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-19;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-20;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-21;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-22;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-23;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-24;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-25;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-26;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-27;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-28;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-29;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-04-30;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-01;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-02;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-03;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-04;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-05;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-06;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-07;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-08;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-09;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-10;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-11;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-12;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-13;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-14;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-05-15;10.000,00;0;10.000,01;619529900;9.039,66;205201812;17.691,99;39342919;9.999,92;9891620;10.000,00;699365062;10.000,03;339935760;9.999,97;23792626
2000-05-16;10.000,00;0;10.003,68;619757103;9.045,46;205333532;17.704,85;39371516;10.014,72;9906258;10.066,50;704016365;10.015,39;340457949;10.004,46;23803319
2000-05-17;10.000,00;0;10.007,28;619980210;9.062,34;205716584;17.709,01;39380762;10.035,31;9926625;10.064,41;703870087;10.036,96;341191209;10.011,49;23820042
2000-05-18;10.000,00;0;10.010,85;620201872;9.061,03;205686907;17.733,25;39434666;10.075,85;9966727;10.045,65;702558245;10.079,10;342623531;10.014,36;23826874
2000-05-19;10.000,00;0;10.014,49;620427184;9.070,69;205906144;17.782,56;39544313;10.081,73;9972541;10.061,11;703639362;10.092,10;343086826;10.020,86;23842336
2000-05-20;10.000,00;0;10.014,49;620427184;9.070,69;205906144;17.782,56;39544313;10.081,73;9972541;10.061,11;703639362;10.092,10;343086826;10.020,86;23842336
2000-05-21;10.000,00;0;10.014,49;620427184;9.070,69;205906144;17.782,56;39544313;10.081,73;9972541;10.061,11;703639362;10.092,10;343086826;10.020,86;23842336
2000-05-22;10.000,00;0;10.025,53;621111245;9.053,89;205524883;17.795,53;39573176;10.094,87;9985541;10.062,92;703765791;10.103,39;343679123;10.020,40;23841234
2000-05-23;10.000,00;0;10.029,08;621330793;9.056,27;205615238;17.801,26;39585906;10.099,74;9990357;10.067,64;704095903;10.103,55;343647054;10.025,97;23854484
2000-05-24;10.000,00;0;10.032,70;621555196;9.060,76;205717188;17.716,02;39396353;10.103,86;9994432;10.082,16;705111216;10.107,66;343786844;10.029,69;23872472
2000-05-25;10.000,00;0;10.036,33;621780319;9.072,19;205976719;17.742,36;39454927;10.110,30;10000807;10.087,26;705468167;10.115,57;344053288;10.033,24;23880917
2000-05-26;10.000,00;0;10.039,92;622354740;9.083,06;206277082;17.748,15;39467799;10.117,26;10007693;10.086,04;705382558;10.117,78;344244481;10.039,83;23896612
2000-05-27;10.000,00;0;10.039,92;622354740;9.083,06;206277082;17.748,15;39467799;10.117,26;10007693;10.086,04;705382558;10.117,78;344244481;10.039,83;23896612
