
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-02-03;31.909,26;7578880033119;37.369,12;7322831642115;36.116,05;10319959366776;35.375,75;515727359825;65.050,97;1250906074902;31.860,94;12173974462241
2016-02-04;31.756,24;7540504505719;37.194,62;7281206808735;35.926,95;10263393651457;35.200,28;513240879025;64.730,35;1244570810143;31.682,21;12104396228286
2016-02-05;31.649,55;7512517011300;37.071,11;7252374442275;35.808,52;10227635777725;35.083,38;511908783064;64.503,88;1240168849709;31.587,89;12067968466975
2016-02-06;31.649,55;7512517011300;37.071,11;7252374442275;35.808,52;10227635777725;35.083,38;511908783064;64.503,88;1240168849709;31.587,89;12067968466975
2016-02-07;31.649,55;7512517011300;37.071,11;7252374442275;35.808,52;10227635777725;35.083,38;511908783064;64.503,88;1240168849709;31.587,89;12067968466975
2016-02-08;31.608,17;7500918949743;37.026,71;7242798819040;35.784,93;10216595555457;35.029,39;511112735168;64.434,32;1238683566703;31.540,51;12049807737407
2016-02-09;31.672,43;7511490681702;37.103,83;7250840930870;35.854,88;10228164831619;35.073,02;511709047175;64.543,97;1240524125114;31.604,34;12071304447792
2016-02-10;31.688,48;7511407203309;37.119,93;7242887259167;35.879,32;10229411888456;35.089,22;511762444947;64.555,22;1240782681860;31.617,28;12073414069556
2016-02-11;31.626,32;7495570111552;37.046,86;7223110376515;35.805,00;10203938343818;35.022,28;511499884113;64.428,28;1238311518953;31.552,95;12049392495690
2016-02-12;31.528,12;7468572192922;36.916,67;7192152450449;35.676,43;10160591026418;34.884,70;511311477040;64.191,22;1235394750827;31.456,85;12013679928968
2016-02-13;31.528,12;7468572192922;36.916,67;7192152450449;35.676,43;10160591026418;34.884,70;511311477040;64.191,22;1235394750827;31.456,85;12013679928968
2016-02-14;31.528,12;7468572192922;36.916,67;7192152450449;35.676,43;10160591026418;34.884,70;511311477040;64.191,22;1235394750827;31.456,85;12013679928968
2016-02-15;31.472,68;7454347921741;36.850,86;7172091870619;35.598,65;10154007671142;34.858,71;515420600992;64.092,36;1230936152390;31.393,76;11993587910486
2016-02-16;31.542,29;7472671193352;36.958,48;7186938272305;35.674,11;10172241459300;34.925,78;517409571202;64.213,08;1234593848829;31.449,34;12018876127840
2016-02-17;31.705,59;7509875279006;37.142,20;7215930578742;35.847,84;10215446016690;35.108,47;519213113927;64.544,88;1243694505467;31.622,83;12082460517662
2016-02-18;31.827,52;7537510294754;37.313,96;7242230806939;36.010,43;10258238990782;35.277,81;521953674400;64.809,78;1246670194068;31.765,64;12132077412034
2016-02-19;31.847,59;7539854116651;37.329,48;7236014680778;36.025,51;10253523418675;35.292,12;521798724126;64.869,81;1247629379286;31.774,42;12132792808214
2016-02-20;31.847,59;7539854116651;37.329,48;7236014680778;36.025,51;10253523418675;35.292,12;521798724126;64.869,81;1247629379286;31.774,42;12132792808214
2016-02-21;31.847,59;7539854116651;37.329,48;7236014680778;36.025,51;10253523418675;35.292,12;521798724126;64.869,81;1247629379286;31.774,42;12132792808214
2016-02-22;31.861,21;7539089762742;37.352,64;7233869261061;36.051,85;10253439490106;35.323,75;521576380040;64.907,79;1247773031615;31.801,20;12139803069298
2016-02-23;31.801,28;7517612454482;37.279,72;7207529814710;35.984,09;10226523302012;35.259,15;519735626341;64.784,44;1244881907055;31.710,83;12102283351737
2016-02-24;31.709,93;7491457465444;37.173,83;7179911509875;35.901,08;10199772116772;35.160,87;517779996314;64.634,58;1241693279515;31.646,81;12075787177210
2016-02-25;31.729,99;7494082391095;37.192,76;7179056035259;35.923,70;10202000471607;35.173,49;517490356206;64.652,90;1241659287844;31.676,98;12083474904048
