
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-01-01;34.219,21;2602327097032;36.417,84;4207110853767;32.650,86;3838522083655;36.286,59;286956246327;56.757,11;324035445340;33.324,05;3030887222890
2016-01-02;34.219,21;2602327097032;36.417,84;4207110853767;32.650,86;3838522083655;36.286,59;286956246327;56.757,11;324035445340;33.324,05;3030887222890
2016-01-03;34.219,21;2602327097032;36.417,84;4207110853767;32.650,86;3838522083655;36.286,59;286956246327;56.757,11;324035445340;33.324,05;3030887222890
2016-01-04;34.209,86;2571096982015;36.416,42;4137979365625;32.649,40;3772682043345;36.287,59;285190107403;56.756,33;317777155972;33.324,50;3005485704780
2016-01-05;34.242,53;2566155230990;36.452,74;4126421597725;32.666,31;3759817525468;36.306,56;284475663025;56.797,23;317345199630;33.340,47;3000265322090
2016-01-06;34.265,73;2564217752128;36.475,43;4119063411681;32.684,46;3757025323906;36.338,84;284286895600;56.838,59;321445379240;33.379,53;3001718009995
2016-01-07;34.303,30;2566740942771;36.513,25;4121010007341;32.715,98;3757516966732;36.374,82;284443202918;56.896,97;321677418305;33.406,43;3002992098941
2016-01-08;34.323,53;2569914944744;36.533,59;4121718098315;32.728,79;3761849852725;36.386,12;284669823311;56.930,75;321937241021;33.430,36;3008538626344
2016-01-09;34.323,53;2569914944744;36.533,59;4121718098315;32.728,79;3761849852725;36.386,12;284669823311;56.930,75;321937241021;33.430,36;3008538626344
2016-01-10;34.323,53;2569914944744;36.533,59;4121718098315;32.728,79;3761849852725;36.386,12;284669823311;56.930,75;321937241021;33.430,36;3008538626344
2016-01-11;34.305,37;2568491565445;36.514,38;4111585724841;32.719,05;3758854781954;36.363,92;285077235431;56.893,77;321924311038;33.405,58;3007439107476
2016-01-12;34.350,56;2612986515115;36.567,28;4234797403617;32.769,14;3951208877996;36.405,07;293489376140;56.974,48;328801179557;33.468,69;3036598131347
2016-01-13;34.389,18;2657296717153;36.602,81;4349978023285;32.794,24;4102306114171;36.442,04;301791814360;57.033,04;335008255045;33.505,45;3075258251281
2016-01-14;34.339,36;2667265918596;36.543,79;4372075641190;32.731,19;4122042143005;36.396,22;303636873733;56.947,07;335842962676;33.439,62;3081389576597
2016-01-15;34.379,53;2683811275454;36.595,35;4400285942805;32.763,97;4154571995467;36.432,31;307582229756;57.027,58;335405903109;33.469,93;3086313165104
2016-01-16;34.379,53;2683811275454;36.595,35;4400285942805;32.763,97;4154571995467;36.432,31;307582229756;57.027,58;335405903109;33.469,93;3086313165104
2016-01-17;34.379,53;2683811275454;36.595,35;4400285942805;32.763,97;4154571995467;36.432,31;307582229756;57.027,58;335405903109;33.469,93;3086313165104
2016-01-18;34.390,15;2689665403776;36.599,66;4408243832204;32.771,35;4161148227551;36.450,14;308129104178;57.048,09;336076194239;33.486,79;3091318033556
2016-01-19;34.413,49;2694198115637;36.632,82;4415017425682;32.795,67;4169854754418;36.472,81;308300591966;57.075,11;340102911424;33.508,64;3096055529643
2016-01-20;34.406,12;2695328861284;36.615,61;4417197889184;32.785,35;4171113176353;36.469,00;308494776566;57.075,57;340563499153;33.507,09;3102912543594
2016-01-21;34.414,76;2749361781925;36.614,36;4552269902776;32.778,75;4373604177703;36.470,14;317294729784;57.080,96;347812701448;33.537,26;3130918915005
2016-01-22;34.439,09;2831141495112;36.646,56;4744398374787;32.802,05;4586299198026;36.495,98;329652750895;57.120,16;357961420885;33.591,03;3189959489470
2016-01-23;34.439,09;2831141495112;36.646,56;4744398374787;32.802,05;4586299198026;36.495,98;329652750895;57.120,16;357961420885;33.591,03;3189959489470
2016-01-24;34.439,09;2831141495112;36.646,56;4744398374787;32.802,05;4586299198026;36.495,98;329652750895;57.120,16;357961420885;33.591,03;3189959489470
2016-01-25;34.418,07;2852502908296;36.618,44;4786165080631;32.787,16;4649185033864;36.491,10;333580540065;57.103,18;360418479554;33.577,30;3202403563788
2016-01-26;34.421,82;2883669645048;36.619,84;4855043285347;32.787,16;4711901641711;36.489,94;337132524675;57.098,57;363004801505;33.575,85;3224408174971
2016-01-27;34.461,63;2917426558966;36.676,41;4928770607344;32.827,91;4776612983497;36.526,48;341052507737;57.155,67;365465275647;33.608,38;3250345299758
2016-01-28;34.447,76;2934727544821;36.654,00;4969220386038;32.809,91;4801118899930;36.500,82;343346296289;57.138,83;366542602021;33.594,32;3263994143054
2016-01-29;34.473,22;2968558837289;36.677,44;5028369682010;32.827,31;4853504445429;36.525,14;346745647593;57.172,32;369228199255;33.628,95;3278328807449
2016-01-30;34.473,22;2968558837289;36.677,44;5028369682010;32.827,31;4853504445429;36.525,14;346745647593;57.172,32;369228199255;33.628,95;3278328807449
2016-01-31;34.473,22;2968558837289;36.677,44;5028369682010;32.827,31;4853504445429;36.525,14;346745647593;57.172,32;369228199255;33.628,95;3278328807449
